date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2023-03-08,9,0.0899,0.7552,0.1549,247.83,246.48,-0.5439,DOWN
2023-03-09,21,0.1105,0.6508,0.2387,246.48,242.84,-1.4783,DOWN
2023-03-10,7,0.0181,0.8702,0.1117,242.84,248.05,2.1441,UP
2023-03-13,6,0.0411,0.8573,0.1016,248.05,254.76,2.7056,UP
2023-03-14,20,0.1413,0.7413,0.1173,254.76,259.3,1.7831,UP
2023-03-15,15,0.1878,0.598,0.2142,259.3,269.81,4.0536,UP
2023-03-16,11,0.17,0.6961,0.134,269.81,272.97,1.1694,UP
2023-03-17,18,0.163,0.5969,0.2401,272.97,265.93,-2.5766,DOWN
2023-03-20,19,0.1887,0.603,0.2083,265.93,267.45,0.5693,UP
2023-03-21,27,0.1788,0.691,0.1302,267.45,265.99,-0.5442,DOWN
2023-03-22,16,0.1204,0.7445,0.1352,265.99,271.24,1.9722,UP
2023-03-23,9,0.3133,0.4207,0.2659,271.24,274.08,1.0481,UP
2023-03-24,19,0.1729,0.4969,0.3301,274.08,269.99,-1.4934,DOWN
2023-03-27,17,0.1856,0.5384,0.276,269.99,268.86,-0.4161,DOWN
2023-03-28,18,0.2704,0.5697,0.1599,268.86,274.02,1.9184,UP
2023-03-29,14,0.1223,0.6181,0.2596,274.02,277.48,1.262,UP
2023-03-30,14,0.1509,0.5925,0.2565,277.48,281.63,1.4962,UP
2023-03-31,11,0.2037,0.6835,0.1127,281.63,280.59,-0.3711,DOWN
2023-04-03,17,0.0927,0.6852,0.2221,280.59,280.54,-0.0174,DOWN
2023-04-04,16,0.1514,0.666,0.1826,280.54,277.76,-0.9889,DOWN
2023-04-05,21,0.2418,0.5417,0.2166,277.76,284.85,2.5533,UP
2023-04-06,25,0.1339,0.6856,0.1805,284.85,282.7,-0.7579,DOWN
2023-04-10,19,0.1899,0.6007,0.2094,282.7,276.29,-2.2669,DOWN
2023-04-11,18,0.2046,0.4844,0.311,276.29,276.93,0.2333,UP
2023-04-12,22,0.1583,0.6485,0.1933,276.93,283.13,2.24,UP
2023-04-13,15,0.0362,0.6877,0.2761,283.13,279.52,-1.2766,DOWN
2023-04-14,14,0.0558,0.6819,0.2623,279.52,282.12,0.9296,UP
2023-04-17,16,0.3418,0.4784,0.1798,282.12,281.7,-0.1489,DOWN
2023-04-18,13,0.0759,0.6984,0.2257,281.7,281.78,0.0278,UP
2023-04-19,15,0.2374,0.5619,0.2007,281.78,279.49,-0.8113,DOWN
2023-04-20,16,0.1474,0.6397,0.2129,279.49,279.15,-0.1223,DOWN
2023-04-21,10,0.2537,0.4986,0.2478,279.15,275.25,-1.3963,DOWN
2023-04-24,37,0.2658,0.5796,0.1545,275.25,269.05,-2.2536,DOWN
2023-04-25,39,0.1645,0.5972,0.2382,269.05,288.54,7.2435,UP
2023-04-26,60,0.3156,0.3839,0.3004,288.54,297.78,3.2027,UP
2023-04-27,27,0.2609,0.5013,0.2378,297.78,300.15,0.7972,UP
2023-04-28,23,0.2279,0.5459,0.2262,300.15,298.49,-0.5533,DOWN
2023-05-01,13,0.0894,0.7077,0.2029,298.49,298.34,-0.0491,DOWN
2023-05-02,16,0.278,0.6178,0.1042,298.34,297.36,-0.3307,DOWN
2023-05-03,24,0.1267,0.6584,0.215,297.36,298.34,0.3318,UP
2023-05-04,21,0.1629,0.6285,0.2086,298.34,303.46,1.7157,UP
2023-05-05,12,0.2292,0.5055,0.2653,303.46,301.51,-0.6438,DOWN
2023-05-08,14,0.1798,0.594,0.2262,301.51,299.9,-0.5346,DOWN
2023-05-09,19,0.1375,0.5893,0.2732,299.9,305.08,1.7296,UP
2023-05-10,14,0.215,0.6946,0.0904,305.08,302.94,-0.7044,DOWN
2023-05-11,18,0.1455,0.6478,0.2066,302.94,301.82,-0.3676,DOWN
2023-05-12,9,0.052,0.7432,0.2048,301.82,302.3,0.1586,UP
2023-05-15,21,0.1948,0.6897,0.1154,302.3,304.53,0.7368,UP
2023-05-16,21,0.1155,0.4822,0.4023,304.53,307.41,0.9451,UP
2023-05-17,17,0.1404,0.6118,0.2478,307.41,311.83,1.4395,UP
2023-05-18,12,0.086,0.528,0.386,311.83,311.66,-0.0565,DOWN
2023-05-19,13,0.1508,0.7082,0.1411,311.66,314.44,0.8921,UP
2023-05-22,9,0.1065,0.5743,0.3192,314.44,308.64,-1.8432,DOWN
2023-05-23,23,0.2147,0.5388,0.2465,308.64,307.26,-0.4473,DOWN
2023-05-24,22,0.1443,0.6418,0.2139,307.26,319.08,3.8458,UP
2023-05-25,23,0.1563,0.4912,0.3525,319.08,325.9,2.1386,UP
2023-05-26,24,0.1444,0.4675,0.3881,325.9,324.26,-0.5047,DOWN
2023-05-30,26,0.178,0.6122,0.2097,324.26,321.49,-0.8514,DOWN
2023-05-31,18,0.105,0.6287,0.2663,321.49,325.6,1.2759,UP
2023-06-01,19,0.1245,0.6453,0.2302,325.6,328.36,0.8479,UP
2023-06-02,12,0.1108,0.5605,0.3287,328.36,328.89,0.161,UP
2023-06-05,14,0.2116,0.6595,0.1289,328.89,326.67,-0.6727,DOWN
2023-06-06,18,0.167,0.6838,0.1492,326.67,316.59,-3.0868,DOWN
2023-06-07,15,0.126,0.6242,0.2498,316.59,318.43,0.5814,UP
2023-06-08,8,0.1413,0.5815,0.2772,318.43,319.93,0.4704,UP
2023-06-09,20,0.2169,0.5551,0.228,319.93,324.88,1.5484,UP
2023-06-12,14,0.2516,0.5637,0.1847,324.88,327.27,0.7353,UP
2023-06-13,22,0.2505,0.5338,0.2158,327.27,330.26,0.9124,UP
2023-06-14,15,0.1357,0.6379,0.2264,330.26,340.79,3.1896,UP
2023-06-15,17,0.119,0.5956,0.2854,340.79,335.14,-1.6576,DOWN
2023-06-16,18,0.1401,0.5811,0.2788,335.14,330.95,-1.2503,DOWN
2023-06-20,16,0.1315,0.5431,0.3255,330.95,326.56,-1.3282,DOWN
2023-06-21,10,0.1312,0.6408,0.228,326.56,332.58,1.8437,UP
2023-06-22,15,0.1858,0.5327,0.2816,332.58,327.99,-1.3806,DOWN
2023-06-23,10,0.113,0.4769,0.4101,327.99,321.7,-1.9163,DOWN
2023-06-26,19,0.054,0.5664,0.3795,321.7,327.54,1.8168,UP
2023-06-27,23,0.1555,0.4542,0.3903,327.54,328.8,0.3826,UP
2023-06-28,17,0.1123,0.6339,0.2538,328.8,328.01,-0.2382,DOWN
2023-06-29,14,0.2117,0.3978,0.3905,328.01,333.39,1.6386,UP
2023-06-30,13,0.1533,0.5601,0.2866,333.39,330.89,-0.7488,DOWN
2023-07-03,12,0.1613,0.6176,0.2211,330.89,331.05,0.0473,UP
2023-07-05,16,0.1895,0.6535,0.157,331.05,334.1,0.9227,UP
2023-07-06,11,0.1716,0.4457,0.3827,334.1,330.14,-1.1867,DOWN
2023-07-07,19,0.2119,0.6234,0.1646,330.14,324.86,-1.5984,DOWN
2023-07-10,11,0.3258,0.3985,0.2757,324.86,325.49,0.1929,UP
2023-07-11,30,0.2363,0.513,0.2507,325.49,330.12,1.4227,UP
2023-07-12,25,0.2692,0.5532,0.1776,330.12,335.46,1.6192,UP
2023-07-13,20,0.3044,0.5086,0.187,335.46,337.99,0.7529,UP
2023-07-14,24,0.2102,0.6205,0.1693,337.99,338.47,0.1419,UP
2023-07-17,19,0.173,0.6094,0.2176,338.47,351.94,3.98,UP
2023-07-18,25,0.1084,0.4725,0.4191,351.94,347.62,-1.2267,DOWN
2023-07-19,38,0.1577,0.5035,0.3389,347.62,339.59,-2.3122,DOWN
2023-07-20,18,0.1658,0.616,0.2182,339.59,336.55,-0.8937,DOWN
2023-07-21,24,0.1525,0.5554,0.2921,336.55,337.86,0.3898,UP
2023-07-24,26,0.0805,0.6681,0.2514,337.86,343.61,1.7009,UP
2023-07-25,39,0.1687,0.5218,0.3096,343.61,330.68,-3.7637,DOWN
2023-07-26,46,0.2932,0.4425,0.2642,330.68,323.78,-2.0872,DOWN
2023-07-27,20,0.1707,0.6721,0.1572,323.78,331.26,2.3132,UP
2023-07-28,9,0.0583,0.6707,0.271,331.26,328.87,-0.7241,DOWN
2023-07-31,15,0.1753,0.5705,0.2543,328.87,329.28,0.1251,UP
2023-08-01,9,0.0544,0.7913,0.1544,329.28,320.62,-2.6283,DOWN
2023-08-02,11,0.1511,0.6867,0.1623,320.62,319.8,-0.2565,DOWN
2023-08-03,14,0.3254,0.4449,0.2297,319.8,320.9,0.3429,UP
2023-08-04,15,0.2718,0.5638,0.1644,320.9,323.18,0.7108,UP
2023-08-07,4,0.2286,0.6954,0.076,323.18,319.2,-1.2299,DOWN
2023-08-08,11,0.1209,0.7945,0.0846,319.2,315.46,-1.1716,DOWN
2023-08-09,20,0.0933,0.6492,0.2574,315.46,316.15,0.2172,UP
2023-08-10,14,0.1109,0.7227,0.1664,316.15,314.27,-0.5946,DOWN
2023-08-11,12,0.2197,0.5147,0.2656,314.27,317.24,0.9439,UP
2023-08-14,10,0.1771,0.4644,0.3585,317.24,315.1,-0.6728,DOWN
2023-08-15,16,0.1395,0.6631,0.1973,315.1,314.34,-0.2429,DOWN
2023-08-16,17,0.1722,0.5348,0.293,314.34,310.88,-1.0986,DOWN
2023-08-17,11,0.316,0.565,0.119,310.88,310.49,-0.1262,DOWN
2023-08-18,12,0.106,0.7903,0.1037,310.49,315.79,1.7063,UP
2023-08-21,11,0.1562,0.6882,0.1556,315.79,316.36,0.1802,UP
2023-08-22,25,0.1503,0.5145,0.3351,316.36,320.81,1.4079,UP
2023-08-23,18,0.0312,0.7511,0.2177,320.81,313.91,-2.1498,DOWN
2023-08-24,23,0.3134,0.4046,0.282,313.91,316.87,0.9407,UP
2023-08-25,9,0.1376,0.6074,0.255,316.87,317.57,0.2229,UP
2023-08-28,8,0.0657,0.7695,0.1648,317.57,322.19,1.455,UP
2023-08-29,14,0.1854,0.4663,0.3482,322.19,322.57,0.1157,UP
2023-08-30,10,0.2014,0.6122,0.1864,322.57,321.56,-0.3133,DOWN
2023-08-31,14,0.0702,0.7766,0.1533,321.56,322.44,0.2746,UP
2023-09-01,7,0.0148,0.7691,0.2161,322.44,327.24,1.4879,UP
2023-09-05,8,0.0526,0.5485,0.3989,327.24,326.58,-0.2009,DOWN
2023-09-06,11,0.1664,0.6558,0.1778,326.58,323.67,-0.8922,DOWN
2023-09-07,10,0.2222,0.5302,0.2475,323.67,327.94,1.3215,UP
2023-09-08,14,0.1367,0.6275,0.2358,327.94,331.54,1.0979,UP
2023-09-11,18,0.1371,0.6312,0.2317,331.54,325.49,-1.8258,DOWN
2023-09-12,20,0.1142,0.6682,0.2176,325.49,329.7,1.2931,UP
2023-09-13,19,0.0826,0.7659,0.1516,329.7,332.29,0.7856,UP
2023-09-14,11,0.0765,0.528,0.3955,332.29,323.97,-2.5037,DOWN
2023-09-15,14,0.1773,0.5731,0.2496,323.97,322.83,-0.3513,DOWN
2023-09-18,9,0.1585,0.5914,0.2502,322.83,322.43,-0.1246,DOWN
2023-09-19,14,0.1054,0.441,0.4536,322.43,314.7,-2.3977,DOWN
2023-09-20,18,0.1402,0.6442,0.2155,314.7,313.48,-0.3866,DOWN
2023-09-21,11,0.028,0.6522,0.3198,313.48,311.01,-0.7887,DOWN
2023-09-22,20,0.2277,0.5434,0.2289,311.01,311.53,0.1672,UP
