date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2021-11-15,6,0.024,0.7771,0.1989,146.65,147.62,0.6666,UP
2021-11-16,14,0.0296,0.6507,0.3197,147.62,150.06,1.649,UP
2021-11-17,19,0.0686,0.8114,0.12,150.06,154.34,2.8536,UP
2021-11-18,22,0.1566,0.6403,0.2031,154.34,156.96,1.6976,UP
2021-11-19,21,0.1672,0.7388,0.0941,156.96,157.42,0.2928,UP
2021-11-22,8,0.0419,0.7512,0.2068,157.42,157.8,0.2422,UP
2021-11-23,13,0.0939,0.6973,0.2088,157.8,158.32,0.3284,UP
2021-11-24,18,0.2108,0.5861,0.2031,158.32,153.3,-3.1678,DOWN
2021-11-26,5,0.1546,0.7751,0.0703,153.3,156.66,2.1873,UP
2021-11-29,2,0.0518,0.8562,0.092,156.66,161.6,3.1578,UP
2021-11-30,18,0.0839,0.6593,0.2569,161.6,161.09,-0.3206,DOWN
2021-12-01,12,0.1801,0.5498,0.2701,161.09,160.1,-0.613,DOWN
2021-12-02,20,0.1608,0.7011,0.1381,160.1,158.22,-1.1724,DOWN
2021-12-03,25,0.2891,0.4672,0.2437,158.22,161.62,2.1503,UP
2021-12-06,4,0.086,0.7687,0.1454,161.62,167.35,3.5446,UP
2021-12-07,15,0.2207,0.5681,0.2112,167.35,171.16,2.2783,UP
2021-12-08,23,0.1616,0.6239,0.2145,171.16,170.66,-0.297,DOWN
2021-12-09,21,0.1818,0.6175,0.2007,170.66,175.44,2.8013,UP
2021-12-10,25,0.1993,0.5825,0.2183,175.44,171.81,-2.0674,DOWN
2021-12-13,10,0.2086,0.5179,0.2736,171.81,170.43,-0.8023,DOWN
2021-12-14,30,0.1698,0.6102,0.22,170.43,175.29,2.8509,UP
2021-12-15,19,0.2396,0.6463,0.1141,175.29,168.41,-3.9264,DOWN
2021-12-16,16,0.1365,0.6825,0.181,168.41,167.31,-0.6502,DOWN
2021-12-17,21,0.2853,0.4846,0.2301,167.31,165.95,-0.8122,DOWN
2021-12-20,4,0.1399,0.7182,0.1419,165.95,169.12,1.9087,UP
2021-12-21,10,0.3142,0.492,0.1938,169.12,171.71,1.5319,UP
2021-12-22,17,0.2685,0.5302,0.2013,171.71,172.34,0.3644,UP
2021-12-23,18,0.0246,0.7401,0.2353,172.34,176.3,2.2975,UP
2021-12-27,7,0.059,0.5226,0.4184,176.3,175.28,-0.5767,DOWN
2021-12-28,15,0.2023,0.6215,0.1761,175.28,175.37,0.0502,UP
2021-12-29,22,0.2625,0.4897,0.2478,175.37,174.21,-0.6578,DOWN
2021-12-30,30,0.1442,0.6754,0.1804,174.21,173.6,-0.3535,DOWN
2021-12-31,21,0.0704,0.743,0.1866,173.6,177.94,2.5004,UP
2022-01-03,5,0.0191,0.9088,0.0721,177.94,175.68,-1.2692,DOWN
2022-01-04,30,0.1345,0.6193,0.2462,175.68,171.01,-2.66,DOWN
2022-01-05,29,0.089,0.5895,0.3215,171.01,168.15,-1.6693,DOWN
2022-01-06,18,0.1206,0.6168,0.2626,168.15,168.32,0.0988,UP
2022-01-07,22,0.0847,0.628,0.2873,168.32,168.34,0.0116,UP
2022-01-10,7,0.2223,0.599,0.1786,168.34,171.16,1.6784,UP
2022-01-11,31,0.0819,0.7378,0.1803,171.16,171.6,0.257,UP
